Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,C DE ENS DO SESI DF - SOBRADINHO,53016963,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA 13 AE 3 LTS A/F, S/N S/C. SOBRADINHO. 73040-130 Brasília - DF.",(61) 34878608,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Médio,,-15.6411867,-47.7874584
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESPACO EDUCATIVO MAFRA,53016971,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA 1 CONJUNTO 2, LOTE 42 A. SETOR HABITACIONAL VICENTE PIRES - TRECHO 1. 72005-095 Brasília - DF.",(61) 35420120,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,                              ,                              
ESCOLA EXCLUSIVA DE ATIVIDADE COMPLEMENTAR,CIL 01 DE SAMAMBAIA,53016980,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA QN 407 CONJUNTO G LOTE, 01 AE. SAMAMBAIA NORTE SAMAMBAIA. 72321-507 Brasília - DF.",(61) 33182997,Estadual,Não Informado,Não,Sim,Escola sem matrícula de escolarização,,Atividade Complementar,-15.8739023,-48.10405138
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,QUERUBIM SAUDE C TECNICO E ASSIST DE ENFERMAGEM,53016998,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA QSB 7, LOTE 06. TAGUATINGA SUL TAGUATINGA. 72015-570 Brasília - DF.",(61) 999553978,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Profissional,,-15.863399,-48.0796125
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC 06 DO PARANOA,53017005,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QD 33 MOD G AE, SN PARANOA. 71573-303 Brasília - DF.",,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.757743,-47.7832287
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEI 07 DE TAGUATINGA,53017013,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QSD 32 AE 1/3, TAGUATINGA. 72020-320 Brasília - DF.",(61) 33182696,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,Atendimento Educacional Especializado,-15.8542526,-48.0487218
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CENTRO EDUCACIONAL EDUC MAIS EIRELI,53017021,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"Q QS 320 CONJ 9 LT 1/2, SAMAMBAIA SUL. 72310-509 Brasília - DF.",(61) 981560160,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.87371167,-48.06031333
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO IDEAL FUNDAMENTAL - UNIDADE V,53017030,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"AVENIDA JEQUITIBA, 325 AGUAS CLARAS. 71929-540 Brasília - DF.",(61) 39689424,Privada,Particular,Não,Sim,Mais de 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,-15.841185,-48.03732667
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COL PODION ENS FUND,53017048,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"SHCGN QD 713 ESCOLA CLASSE, ASA NORTE. 70760-730 Brasília - DF.",(61) 991920712,Privada,Particular,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,,-15.7501218,-47.8972089
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,JI 06 DO GAMA,53017056,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"EQ 17/27 AE ST OESTE, SETOR OESTE. 72420-177 Brasília - DF.",(61) 35560512,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,Atendimento Educacional Especializado,-16.0115324,-48.0787813
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC 502 DE SAMAMBAIA,53017064,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QS 502 CJ 9 LT 1, 9 LOTE 01. SAMAMBAIA. 72310-529 Brasília - DF.",(61) 983492202,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental","Atendimento Educacional Especializado, Atividade Complementar",-15.8851845,-48.0840306
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,JI 02 DO CRUZEIRO,53017072,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"SHCES QD 805 AE LOTE 01, AREA ESPECIAL. CRUZEIRO NOVO. 70655-860 Brasília - DF.",,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-15.7966592,-47.9391261
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEF 03 DA ESTRUTURAL,53017080,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"S I A TR 2 LTS 1815 E 1825, ZONA INDUSTRIAL. S I A. 71200-020 Brasília - DF.",(61) 39746004,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,,-15.803796,-47.968502
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEPI CUTIA,53017099,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QS 127 AE 1, SAMAMBAIA SUL. 72303-541 Brasília - DF.",(61) 994128017,Privada,Filantrópica,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-15.8952243,-48.1266098
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COL VISAO,53017102,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"R 25 NORTE LT, 04 AGUAS CLARAS. 71917-180 Brasília - DF.",(61) 30112245,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,-15.8376144,-48.0294228
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEPI MANGABEIRA,53017110,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QS 413 AE 02, SAMAMBAIA NORTE. 72321-570 Brasília - DF.",(61) 30600658,Privada,Filantrópica,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-15.8797315,-48.1093581
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEPI SAGUI,53017129,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QD 2 AE 2, 02 PIQ2. SETOR VEREDAS. 72725-225 Brasília - DF.",(61) 30815294,Privada,Filantrópica,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-15.67260933,-48.20253141
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEPI PERDIZ,53017137,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"SHIN QI 13 LTS E/F, LAGO NORTE. 71535-000 Brasília - DF.",(61) 39632031,Privada,Filantrópica,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-15.759945,-47.8309283
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,PRO-VIDA C DE EDUC INF,53017145,DF,Brasília,Rural,A escola não está em área de localização diferenciada,Privada,"AVENIDA VARGEM DA BENCAO CHACARA, 29 29. RECANTO DAS EMAS. 72610-350 Brasília - DF.",(61) 33312132,Privada,Comunitária,Sim,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-15.90304667,-48.09824333
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CENTRO DE EDUCACAO INFANTIL TIA NAIR,53017153,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA 05 AREA ESPECIAL, 02 PRACA INTERNA. SETOR VEREDAS. 72726-100 Brasília - DF.",(61) 30521252,Privada,Filantrópica,Sim,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-15.6668242,-48.1989875
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,C DE EDUC SAO FILIPPO SMALDONE,53017161,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QD 32 CJ F AE 1, 01 PARANOA. 71573-206 Brasília - DF.",(61) 32647922,Privada,Filantrópica,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-15.7616135,-47.7796321
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,C DE EDUC INF TIA NAIR - UNIDADE I,53017170,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QD 31 CJ C LT, 10 PARANOA. 71573-103 Brasília - DF.",(61) 33693175,Privada,Filantrópica,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-15.7619286,-47.7819815
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC INF MEU PEQUENO PRINCIPE,53017200,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QE 3 CJ O LT 54, GUARA. 71020-153 Brasília - DF.",(61) 35673894,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,-15.815675,-47.974485
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,BRITISH SCHOOL OF BRASILIA,53017218,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA SHIS QI 7 CONJUNTO 17, ESCOLA. SETOR DE HABITACOES INDIVIDUAIS SUL. 71615-370 Brasília - DF.",(61) 32483694,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEP ESC TECNICA DO GUARA PROF TERESA ONDINA MALTESE,53017234,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"EQ 17/19 LT A AREA ESPECIAL, 01 GUARA II. 71050-175 Brasília - DF.",(61) 33182295,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Educação Profissional,,-15.8391897,-47.9765768
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC PEQUENO GENIO,53017250,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA 12 MODULO 23, 10 SETOR HABITACIONAL MESTRE DARMAS PLANALTINA-DF. 73401-430 Brasília - DF.",(61) 33887780,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-15.6122067,-47.6770269
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,UNICO EDUCACIONAL TAGUATINGA,53017293,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"ST HOTELEIRO 1 PROJECAO A 1º E 2º ANDARES, TAGUATINGA. 72011-901 Brasília - DF.",(61) 30480900,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Médio,,-15.8324981,-48.0518747
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,C EDUCACIONAL LOGOS,53017315,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA QN 508 CONJ 1 LT 03, SAMAMBAIA SUL SAMAMBAIA. 72312-201 Brasília - DF.",(61) 33570321,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-15.88048861,-48.07516
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEI PINHEIRINHO ROXO,53017323,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA QUADRA 300 CONJUNTO 17 LOTE 01, 01 RECANTO DAS EMAS. 72620-117 Brasília - DF.",(61) 39015505,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-15.90738146,-48.07802965
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CRESCE - EDUC INF E ENS FUND,53017331,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA JERIVA LOTE 11, SUL AGUAS CLARAS. 71928-360 Brasília - DF.",(61) 30218537,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.8443996,-48.0323206
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,C EDUCACIONAL SAMAR,53017358,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA AC 419 CONJUNTO G LOTES 19, 20 E 21, 1920 E 21 SANTA MARIA. 72549-435 Brasília - DF.",(61) 33956187,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-16.0125309,-47.9841634
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COL SABER- EDUC INF,53017374,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA QSB 5 LOTE 1 LOJAS 1 E 2 QSB 6 LOTE 1, 1 TAGUATINGA SUL TAGUATINGA. 72015-560 Brasília - DF.",(61) 35639111,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-15.8387402,-48.0580157
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC 68 DE CEILANDIA,53017404,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QNR 2 LT 2, LOTE 02 LOTE 02. CEILANDIA. 72275-250 Brasília - DF.",(61) 34044410,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.8084174,-48.1582884
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEF 09 DE SOBRADINHO,53017412,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"AR 13 CJ 1, AE 3 ANTIGO COER. SOBRADINHO II. 73062-301 Brasília - DF.",(61) 39018024,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,,-15.6427267,-47.8207278
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COL PROMOVE DE BRASILIA,53017439,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QS 5 R 300 LT 1 BL I AREAL, AGUAS CLARAS. 71961-540 Brasília - DF.",(61) 30359500,Privada,Particular,Não,Em Tramitação,Entre 51 e 200 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-15.85372083,-48.03217029
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEPI CAPIM ESTRELA,53017447,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QS 613 AREA ESPECIAL Nº 02, SAMAMBAIA. 72331-570 Brasília - DF.",(61) 31420776,Privada,Filantrópica,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-15.8746243,-48.1114825
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEPI ROSA-DO-CERRADO,53017455,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QS 7 AE LT 10, 10 AGUAS CLARAS. 71967-000 Brasília - DF.",(61) 36861632,Privada,Filantrópica,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-15.86337078,-48.02761669
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEPI FLAMBOYANT,53017471,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"AREA ESPECIAL 1 SETOR SUL, SETOR SUL BRAZLANDIA. 72715-610 Brasília - DF.",(61) 30815118,Privada,Filantrópica,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-15.6868789,-48.1908402
ESCOLA EXCLUSIVA DE ATIVIDADE COMPLEMENTAR,CIL DO RIACHO FUNDO I,53017480,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA QS 14, AREA ESPECIAL. RIACHO FUNDO I. 71825-400 Brasília - DF.",(61) 984739149,Estadual,Não Informado,Não,Sim,Escola sem matrícula de escolarização,,Atividade Complementar,-15.88443335,-48.01455181
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEJA EP A DISTANCIA DE BRASILIA,53017498,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA SQS 315, ASA SUL. 70384-000 Brasília - DF.",(61) 33182589,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Educação Profissional, Educação de Jovens Adultos",,-15.8104003,-47.8823651
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC FLOR DE LIS,53017501,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QNB 15 AE 4 ALA AB, 04 TAGUATINGA NORTE. 72115-150 Brasília - DF.",(61) 30332523,Privada,Filantrópica,Sim,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-15.82018298,-48.06467503
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EC COMUNIDADE DE APRENDIZAGEM DO PARANOA - EC CAP,53017544,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QD 3 CJ A LTS 8 A 10, 8 A 10 PARANOA. 71570-305 Brasília - DF.",(61) 33308630,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.7790031,-47.7877489
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COL PROGRESSUS,53017552,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QNO 1 CONJUNTO C LOTE, 47 A 49 SETOR O. CEILANDIA NORTE CEILANDIA. 72250-103 Brasília - DF.",(61) 30479955,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.7996427,-48.1226118
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COL VENCER,53017579,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA QNM 5 CONJUNTO B/D LTS, 33 A 39 CEILANDIA SUL CEILANDIA. 72215-052 Brasília - DF.",(61) 33732255,Privada,Particular,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,-15.8307096,-48.1019111
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC CRIANCA EM ACAO,53017587,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA 15 DE NOVEMBRO QD 60 LT 10A ST TRADICIONAL, 10 A SETOR TRADICIONAL PLANALTINA. 73330-038 Brasília - DF.",(61) 30451263,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.62408536,-47.66046779
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ECB ESCOLA CANADENSE DE BRASILIA AGUAS CLARAS,53017595,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QS 05 AV AREAL LOTE 04, 4 AGUAS CLARAS. 71950-000 Brasília - DF.",,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.7962223,-47.914867
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO CENESC,53017609,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA 205 CONJUNTO 15, 4 RECANTO DAS EMAS. 72610-515 Brasília - DF.",(61) 30466460,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.9081977,-48.066576
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ME POE NA HISTORIA - EDUC INF,53017617,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA EQN 212/412, LOTE C ESCOLA. ASA NORTE. 70864-450 Brasília - DF.",(61) 32020403,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-15.7196829,-47.8811418
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,C EDUCACIONAL SANTA CARMEN SALLES,53017625,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA QUADRA 2/3, LOTE 01 PARANOA. PARANOA PARQUE PARANOA. 71587-150 Brasília - DF.",(61) 30381340,Privada,Filantrópica,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.7685552,-47.7847832
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COL CCA,53017633,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"AVENIDA BURITIS QUADRA 603 LT 12, RECANTO DAS EMAS. 72640-320 Brasília - DF.",(61) 34043595,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.916446,-48.0567933
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC CIESB - C INTERNACIONAL EVANGELICO SUICO BRASILEIRO,53017641,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"AVENIDA JACARANDA LT 39/41, SUL AGUAS CLARAS. 71927-540 Brasília - DF.",(61) 35633402,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,IFB - CAMPUS RECANTO DAS EMAS,53017668,DF,Brasília,Rural,A escola não está em área de localização diferenciada,Pública,"QUADRA 300, NUCLEO RURAL, AVENIDA MONJOLO, 22 CHACARA. RECANTO DAS EMAS. 72620-100 Brasília - DF.",(61) 21032190,Federal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",,-15.91238016,-48.07721786
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,UNYLEYA ESC TECNICA - UNYTECH,53017684,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"AVENIDA JACARANDA, 16 PREDIO. SUL AGUAS CLARAS. 71927-540 Brasília - DF.",(61) 32479600,Privada,Particular,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Educação Profissional,,-15.846385,-48.03095
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,VIRAVENTOS ESC INF,53017692,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA EQS 204/404 BLOCO C, ASA SUL. 70234-450 Brasília - DF.",(61) 37021292,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-15.81256247,-47.89034735
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,INST EDUCACIONAL SOARES,53017706,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"RODOVIA DF-250 KM 2,5 CD MANSOES ENTRE LAGOS ETAPA 2 CONJUNTO U, 17/18 REGIAO DOS LAGOS SOBRADINHO. 73255-901 Brasília - DF.",(61) 33690771,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-15.7420939,-47.7566689
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEI 08 DE TAGUATINGA,53017730,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"QUADRA CND 5, AREA ESPECIAL 1. TAGUATINGA NORTE. 72120-055 Brasília - DF.",(61) 39013233,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,Atendimento Educacional Especializado,-15.80816067,-48.06393522
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COL OBJETIVO DF - UNIDADE II,53017749,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"AV PAU BRASIL LOTE 02 SALAS DE AULA E TERREO, 02 NORTE AGUAS CLARAS. 71917-180 Brasília - DF.",(61) 37726500,Privada,Particular,Não,Sim,Mais de 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,-15.83853228,-48.02984568
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEPI ARACA-MIRIM,53017757,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"QUADRA AR 03 LOTE 3, SETOR OESTE SOBRADINHO II. 73060-130 Brasília - DF.",(61) 34836576,Privada,Filantrópica,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-15.63975019,-47.82902037
ESCOLA PARALISADA,INST MIX DE PROFISSOES,53017773,DF,Brasília,Urbana,Não Informado,Privada,"QNN 02 CONJ B LT 1, CEILANDIA. 72220-022 Brasília - DF.",(61) 30551009,Privada,Não Informado,Não,,,,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CR IRMA DULCE,53017781,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Privada,"MOD I LT 8 SETOR DE MANSOES DARMAS, PLANALTINA. 73402-503 Brasília - DF.",(61) 34884843,Privada,Filantrópica,Sim,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-15.60483,-47.67541167
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEI BURITIZINHO,53017790,DF,Brasília,Urbana,A escola não está em área de localização diferenciada,Pública,"DF 280 KM 7/8 SITIO NOVA ESPERANCA, 62 CHACARA NR. 62. RECANTO DAS EMAS. 72667-400 Brasília - DF.",(61) 34109490,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-15.93595,-48.23051
